customerID,Customer Title,Customer Birth Date,Came From Paid Acq?,# Months since first Purchase,InternetService,Has contacted CS,Has RakutenTV,PaymentMethod,Last Purchase Amount,Total Purchase Amount,Churn
7590-VHVEG,Ms,12/12/1967,Yes,1.0,,Yes,No,Credit card,29.85,29.85,No
5575-GNVDE,Miss,09/09/1963,No,34.0,,No,No,Credit card,56.95,1889.5,No
3668-QPYBK,Mr,10/22/1961,No,2.0,,No,No,Bank transfer (automatic),53.85,108.15,Yes
7795-CFOCW,Miss,01/09/1978,No,45.0,,Banana,No,Credit card,42.3,1840.75,No
9237-HQITU,Mr,01/12/1979,No,2.0,DSL,No,No,Credit card,70.7,151.65,Yes
9305-CDSKC,Ms,04/04/1954,No,8.0,,No,Yes,Credit card,99.65,820.5,Yes
1452-KIOVK,Mr,03/01/1974,No,22.0,DSL,No,Yes,Credit card,89.1,1949.4,No
6713-OKOMC,Mr,12/18/1952,No,10.0,,Yes,No,Credit card,29.75,301.9,No
7892-POOKP,Ms,10/24/1962,Yes,28.0,,Yes,Yes,Credit card,104.8,3046.05,Yes
6388-TABGU,Miss,02/27/1971,No,62.0,,Yes,No,Credit card,56.15,3487.95,No
9763-GRSKD,Mr,10/06/1955,Yes,13.0,DSL,No,No,Credit card,49.95,587.45,No
7469-LKBCI,Mr,10/10/1969,No,16.0,Orange,,No internet service,Credit card,18.95,326.8,No
8091-TTVAX,Miss,03/07/1955,Yes,58.0,,No,Yes,Bank transfer (automatic),100.35,5681.1,No
0280-XJGEX,Mr,07/26/1979,No,49.0,,Yes,Yes,Credit card,103.7,5036.3,Yes
5129-JLPIS,Ms,01/19/1969,No,25.0,Fiber optic,,Yes,PayPal,105.5,2686.05,No
3655-SNQYZ,Miss,01/16/1953,Yes,69.0,,Banana,Yes,Bank transfer (automatic),113.25,7895.15,No
8191-XWSZG,Ms,09/13/1960,No,52.0,DSL,No,No internet service,Bank transfer (automatic),20.65,1022.95,No
9959-WOFKT,Mr,07/03/1970,No,71.0,,Yes,Yes,PayPal,106.7,7382.25,No
4190-MFLUW,Mr,09/09/1975,Yes,10.0,,,No,Credit card,55.2,528.35,Yes
